accX,accY,accZ,accX_cal,accY_cal,accZ_cal,gyroX,gyroY,gyroZ,gyroX_cal,gyroY_cal,gyroZ_cal
844,-382,16694,0,0,-0.01,-224,-67,132,0.06,0.03,0.15
868,-160,16786,0,0.01,0,-234,-60,121,-0.09,0.14,-0.02
718,-570,16792,-0.01,-0.01,0,-222,-52,119,0.09,0.26,-0.05
942,-132,16772,0.01,0.01,0,-234,-65,114,-0.09,0.06,-0.12
778,-586,16680,0,-0.02,-0.01,-244,-61,132,-0.24,0.12,0.15
772,-186,16784,0,0.01,0,-218,-86,132,0.15,-0.26,0.15
814,-408,16874,0,0,0,-223,-67,114,0.08,0.03,-0.12
900,-190,16816,0.01,0.01,0,-220,-84,127,0.12,-0.23,0.08
818,-310,16828,0,0,0,-245,-53,119,-0.26,0.24,-0.05
712,-248,16794,-0.01,0,0,-220,-76,118,0.12,-0.11,-0.06
830,-248,16812,0,0,0,-232,-66,116,-0.06,0.05,-0.09
772,-502,16740,0,-0.01,0,-219,-75,126,0.14,-0.09,0.06
852,-178,16692,0,0.01,-0.01,-230,-66,130,-0.03,0.05,0.12
752,-464,16858,0,-0.01,0,-227,-70,116,0.02,-0.02,-0.09
804,-288,16796,0,0,0,-219,-61,123,0.14,0.12,0.02
738,-388,16778,0,0,0,-238,-69,124,-0.15,0,0.03
904,-346,16802,0.01,0,0,-221,-66,120,0.11,0.05,-0.03
776,-384,16778,0,0,0,-225,-73,114,0.05,-0.06,-0.12
816,-330,16768,0,0,0,-222,-77,127,0.09,-0.12,0.08
814,-354,16852,0,0,0,-229,-74,121,-0.02,-0.08,-0.02
878,-262,16820,0,0,0,-227,-72,117,0.02,-0.05,-0.08
810,-352,16688,0,0,-0.01,-226,-59,130,0.03,0.15,0.12
766,-298,16764,0,0,0,-234,-76,116,-0.09,-0.11,-0.09
912,-308,16734,0.01,0,0,-232,-66,125,-0.06,0.05,0.05
830,-344,16860,0,0,0,-219,-69,131,0.14,0,0.14
892,-346,16800,0,0,0,-224,-70,115,0.06,-0.02,-0.11
822,-350,16778,0,0,0,-228,-72,122,0,-0.05,0
